TAC,manufacturer,model,aka,os,year,lte
86868401,Mastone Communication Electrical,MASTONE MASTONE G11,,Android,2012,0
86868500,Byd,BYD s500,,Proprietary,,0
86868501,Shenzhen Fadar Telecom,Fadar FDT  E5,,Android,2012,0
86868600,T-Smart Communications Equipment,T,T-smart T-smart T68,Proprietary,,0
86868601,Wanjie Information Technology,NEWOD H1999,,Android,2012,0
86868700,Shenzhen Yinxing Digital,EINPAD EINPAD A6,,Proprietary,,0
86868701,Shenzhen Blue Broadcom,BUFFY BUFFY,BUFFY BUFFY-L200,Android,2012,0
86868801,Fibocom Wireless Inc,FIBOCOM G610,,Android,2012,0
86868901,Senyang Electronic Science,Onephone E808,,Android,2012,0
86869000,Shenzhen Weekly News,TENY TY103,,Proprietary,,0
86869001,Shenzhen Xuanhua Electron,XuanHua F938,,Android,2012,0
86869100,Shenzhen Sunup Communication,HO2,,Proprietary,,0
86869101,Guangdong Oppo Mobile,OPPO OPPO R801,,Android,2012,0
86869200,Huizhou City Jiayuan,cayon cayon G8850,,Proprietary,,0
86869201,Gionee Communication Equipment,GiONEE DS125,,Android,2012,0
86869300,Shenzhen Rir Technology,S66,,Proprietary,,0
86869301,Senyang Electronic Science,Citycall M92,,Android,2012,0
86869400,Shenzhen Jielai Technology,SAINO SAINO Z360,,Proprietary,,0
